task id resource request_start request_end request_duration start end time downloaded executed uploaded type
gatk-wrapper 6 lambda-4096 221356 259298 37942 1618277149517 1618277182676 33159 0 33159 0 lambda-4096
gatk-wrapper 17 lambda-4096 259365 325928 66563 1618277187625 1618277250577 62952 0 62952 0 lambda-4096
gatk-wrapper 22 lambda-4096 259371 330001 70630 1618277189288 1618277257459 68171 0 68171 0 lambda-4096
gatk-wrapper 11 lambda-4096 259356 330474 71118 1618277187502 1618277256638 69136 0 69136 0 lambda-4096
gatk-wrapper 23 lambda-4096 259373 335792 76419 1618277189507 1618277259340 69833 0 69832 0 lambda-4096
gatk-wrapper 13 lambda-4096 259360 336101 76741 1618277187544 1618277259351 71807 0 71807 0 lambda-4096
gatk-wrapper 14 lambda-4096 259361 336107 76746 1618277187582 1618277260311 72729 0 72729 0 lambda-4096
gatk-wrapper 15 lambda-4096 259362 336286 76924 1618277187565 1618277263260 75695 0 75695 0 lambda-4096
gatk-wrapper 9 lambda-4096 259382 336422 77040 1618277189315 1618277263837 74522 0 74522 0 lambda-4096
gatk-wrapper 19 lambda-4096 259367 336539 77172 1618277188983 1618277263655 74672 0 74672 0 lambda-4096
gatk-wrapper 18 lambda-4096 259366 336590 77224 1618277189240 1618277259343 70103 0 70103 0 lambda-4096
gatk-wrapper 20 lambda-4096 259369 340666 81297 1618277189572 1618277267385 77813 0 77812 0 lambda-4096
gatk-wrapper 26 lambda-4096 259378 340671 81293 1618277189642 1618277266127 76485 0 76485 0 lambda-4096
gatk-wrapper 10 lambda-4096 259355 341044 81689 1618277187499 1618277265956 78457 0 78457 0 lambda-4096
gatk-wrapper 12 lambda-4096 259358 341742 82384 1618277187533 1618277265754 78221 0 78220 0 lambda-4096
gatk-wrapper 16 lambda-4096 259363 341832 82469 1618277187622 1618277266453 78831 0 78831 0 lambda-4096
gatk-wrapper 8 lambda-4096 259380 341892 82512 1618277189632 1618277267093 77461 0 77461 0 lambda-4096
gatk-wrapper 25 lambda-4096 259376 347565 88189 1618277189974 1618277269487 79513 0 79513 0 lambda-4096
gatk-wrapper 21 lambda-4096 259370 347597 88227 1618277189579 1618277269106 79527 0 79527 0 lambda-4096
gatk-wrapper 24 lambda-4096 259374 352935 93561 1618277189381 1618277275465 86084 0 86084 0 lambda-4096
gatk-wrapper 7 lambda-4096 259379 358264 98885 1618277189050 1618277285674 96624 0 96624 0 lambda-4096
gatk-wrapper 38 lambda-4096 325937 379346 53409 1618277254200 1618277302972 48772 0 48772 0 lambda-4096
gatk-wrapper 39 lambda-4096 336602 389679 53077 1618277264666 1618277316179 51513 0 51513 0 lambda-4096
gatk-wrapper 32 lambda-4096 330481 389805 59324 1618277258551 1618277311799 53248 0 53247 0 lambda-4096
gatk-wrapper 43 lambda-4096 330011 389806 59795 1618277258177 1618277308550 50373 0 50373 0 lambda-4096
gatk-wrapper 44 lambda-4096 335809 389982 54173 1618277263919 1618277315974 52055 0 52055 0 lambda-4096
gatk-wrapper 34 lambda-4096 336113 395279 59166 1618277264182 1618277318096 53914 0 53914 0 lambda-4096
gatk-wrapper 30 lambda-4096 336430 395318 58888 1618277264546 1618277318422 53876 0 53876 0 lambda-4096
gatk-wrapper 36 lambda-4096 336300 395421 59121 1618277264461 1618277320760 56299 0 56299 0 lambda-4096
gatk-wrapper 35 lambda-4096 336122 395502 59380 1618277264183 1618277318966 54783 0 54783 0 lambda-4096
gatk-wrapper 40 lambda-4096 336546 395527 58981 1618277264612 1618277319234 54622 0 54622 0 lambda-4096
gatk-wrapper 41 lambda-4096 340684 400339 59655 1618277268753 1618277324422 55669 0 55669 0 lambda-4096
gatk-wrapper 37 lambda-4096 341844 400399 58555 1618277270043 1618277326553 56510 0 56510 0 lambda-4096
gatk-wrapper 47 lambda-4096 340688 400402 59714 1618277268754 1618277323428 54674 0 54674 0 lambda-4096
gatk-wrapper 29 lambda-4096 341899 400403 58504 1618277270077 1618277325509 55432 0 55432 0 lambda-4096
gatk-wrapper 31 lambda-4096 341052 400404 59352 1618277269132 1618277326181 57049 0 57049 0 lambda-4096
gatk-wrapper 33 lambda-4096 341754 400404 58650 1618277269818 1618277327097 57279 0 57279 0 lambda-4096
gatk-wrapper 46 lambda-4096 347577 406118 58541 1618277276051 1618277332391 56340 0 56340 0 lambda-4096
gatk-wrapper 42 lambda-4096 347604 406169 58565 1618277276057 1618277332495 56438 0 56438 0 lambda-4096
gatk-wrapper 45 lambda-4096 352945 416669 63724 1618277281160 1618277340776 59616 0 59616 0 lambda-4096
gatk-wrapper 28 lambda-4096 358274 422016 63742 1618277286366 1618277345084 58718 0 58718 0 lambda-4096
gatk-wrapper 48 lambda-4096 422030 459997 37967 1618277350211 1618277384852 34641 0 34640 0 lambda-4096
gatk-wrapper 51 lambda-4096 460013 598614 138601 1618277388128 1618277520939 132811 0 132811 0 lambda-4096
gatk-wrapper 49 lambda-4096 460009 630337 170328 1618277388145 1618277551007 162862 0 162862 0 lambda-4096
gatk-wrapper 52 lambda-4096 598626 635631 37005 1618277526811 1618277559983 33172 0 33172 0 lambda-4096
gatk-wrapper 50 lambda-4096 630344 668081 37737 1618277558551 1618277591798 33247 0 33247 0 lambda-4096
bwa-wrapper 1 lambda-4096 0 22405 22405 1618277597333 1618277617779 20446 0 20423 0 lambda-4096
picard-wrapper 2 lambda-4096 22417 28301 5884 1618277619654 1618277620108 454 0 454 0 lambda-4096
picard-wrapper 3 lambda-4096 28310 34131 5821 1618277625486 1618277626666 1180 0 1179 0 lambda-4096
picard-wrapper 4 lambda-4096 34135 39971 5836 1618277631308 1618277631787 479 0 479 0 lambda-4096
gatk-wrapper 5 lambda-4096 40516 222316 181800 1618277637720 1618277817056 179336 0 179336 0 lambda-4096
gatk-wrapper 6 lambda-4096 222328 260711 38383 1618277819617 1618277852837 33220 0 33220 0 lambda-4096
gatk-wrapper 17 lambda-4096 260787 326427 65640 1618277858171 1618277921866 63695 0 63695 0 lambda-4096
gatk-wrapper 11 lambda-4096 260778 332038 71260 1618277858071 1618277926508 68437 0 68437 0 lambda-4096
gatk-wrapper 13 lambda-4096 260781 337372 76591 1618277858082 1618277929944 71862 0 71862 0 lambda-4096
gatk-wrapper 22 lambda-4096 260793 337447 76654 1618277860231 1618277928227 67996 0 67995 0 lambda-4096
gatk-wrapper 14 lambda-4096 260783 337458 76675 1618277858110 1618277931562 73452 0 73452 0 lambda-4096
gatk-wrapper 19 lambda-4096 260789 337523 76734 1618277859379 1618277932891 73512 0 73512 0 lambda-4096
gatk-wrapper 18 lambda-4096 260788 337531 76743 1618277860723 1618277931536 70813 0 70812 0 lambda-4096
gatk-wrapper 26 lambda-4096 260799 342396 81597 1618277860233 1618277935985 75752 0 75752 0 lambda-4096
gatk-wrapper 23 lambda-4096 260794 342745 81951 1618277862050 1618277936801 74751 0 74751 0 lambda-4096
gatk-wrapper 21 lambda-4096 260792 342833 82041 1618277860140 1618277939345 79205 0 79204 0 lambda-4096
gatk-wrapper 9 lambda-4096 260803 342846 82043 1618277861720 1618277938393 76673 0 76673 0 lambda-4096
gatk-wrapper 16 lambda-4096 260786 342870 82084 1618277858180 1618277937649 79469 0 79469 0 lambda-4096
gatk-wrapper 12 lambda-4096 260780 342873 82093 1618277858081 1618277935392 77311 0 77311 0 lambda-4096
gatk-wrapper 15 lambda-4096 260785 342929 82144 1618277858108 1618277934766 76658 0 76658 0 lambda-4096
gatk-wrapper 20 lambda-4096 260790 342931 82141 1618277859884 1618277937900 78016 0 78015 0 lambda-4096
gatk-wrapper 10 lambda-4096 260777 342973 82196 1618277858069 1618277937018 78949 0 78948 0 lambda-4096
gatk-wrapper 24 lambda-4096 260796 348124 87328 1618277859801 1618277944192 84391 0 84391 0 lambda-4096
gatk-wrapper 8 lambda-4096 260802 348272 87470 1618277861286 1618277939927 78641 0 78641 0 lambda-4096
gatk-wrapper 25 lambda-4096 260798 348275 87477 1618277860403 1618277943238 82835 0 82835 0 lambda-4096
gatk-wrapper 7 lambda-4096 260801 363839 103038 1618277859940 1618277957595 97655 0 97655 0 lambda-4096
gatk-wrapper 38 lambda-4096 326438 381138 54700 1618277923867 1618277973977 50110 0 50110 0 lambda-4096
gatk-wrapper 32 lambda-4096 332049 390520 58471 1618277934405 1618277986845 52440 0 52439 0 lambda-4096
gatk-wrapper 43 lambda-4096 337455 391996 54541 1618277934745 1618277985343 50598 0 50598 0 lambda-4096
gatk-wrapper 39 lambda-4096 337538 392153 54615 1618277934843 1618277986470 51627 0 51627 0 lambda-4096
gatk-wrapper 44 lambda-4096 342758 395876 53118 1618277940012 1618277992500 52488 0 52488 0 lambda-4096
gatk-wrapper 34 lambda-4096 337396 396374 58978 1618277934666 1618277988837 54171 0 54171 0 lambda-4096
gatk-wrapper 35 lambda-4096 337464 396530 59066 1618277934760 1618277990138 55378 0 55378 0 lambda-4096
gatk-wrapper 40 lambda-4096 337529 397435 59906 1618277934812 1618277989022 54210 0 54210 0 lambda-4096
gatk-wrapper 47 lambda-4096 342414 401181 58767 1618277939640 1618277995341 55701 0 55701 0 lambda-4096
gatk-wrapper 41 lambda-4096 342941 401750 58809 1618277940138 1618277995953 55815 0 55815 0 lambda-4096
gatk-wrapper 30 lambda-4096 342862 401894 59032 1618277940080 1618277994127 54047 0 54047 0 lambda-4096
gatk-wrapper 42 lambda-4096 342856 402607 59751 1618277940083 1618277996553 56470 0 56470 0 lambda-4096
gatk-wrapper 37 lambda-4096 342882 402712 59830 1618277940173 1618277996775 56602 0 56602 0 lambda-4096
gatk-wrapper 36 lambda-4096 342938 402789 59851 1618277940173 1618277996773 56600 0 56600 0 lambda-4096
gatk-wrapper 31 lambda-4096 342985 402816 59831 1618277940197 1618277996789 56592 0 56592 0 lambda-4096
gatk-wrapper 33 lambda-4096 342886 402843 59957 1618277940126 1618277996526 56400 0 56400 0 lambda-4096
gatk-wrapper 45 lambda-4096 348132 407052 58920 1618277945311 1618278003886 58575 0 58574 0 lambda-4096
gatk-wrapper 29 lambda-4096 348284 407178 58894 1618277945501 1618278000352 54851 0 54851 0 lambda-4096
gatk-wrapper 46 lambda-4096 348293 408076 59783 1618277945509 1618278001493 55984 0 55984 0 lambda-4096
