task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 103 lambda-1024 1359 7580 6221 1615755233791 1615755238937 5146 99 4909 138 lambda-1024
ellipsoids-openmp 95 lambda-1024 1389 7610 6221 1615755235446 1615755238971 3525 92 3346 87 lambda-1024
ellipsoids-openmp 31 lambda-1024 1370 7630 6260 1615755234054 1615755238980 4926 104 4735 87 lambda-1024
ellipsoids-openmp 37 lambda-1024 1372 7634 6262 1615755234263 1615755238988 4725 104 4508 113 lambda-1024
ellipsoids-openmp 89 lambda-1024 1387 7658 6271 1615755235422 1615755239025 3603 89 3429 85 lambda-1024
ellipsoids-openmp 30 lambda-1024 1370 7673 6303 1615755234133 1615755239048 4915 107 4706 102 lambda-1024
ellipsoids-openmp 26 lambda-1024 1369 7708 6339 1615755233990 1615755239068 5078 100 4884 94 lambda-1024
ellipsoids-openmp 97 lambda-1024 1389 7734 6345 1615755235500 1615755239090 3590 90 3408 92 lambda-1024
ellipsoids-openmp 98 lambda-1024 1389 7740 6351 1615755235550 1615755239134 3584 91 3371 122 lambda-1024
ellipsoids-openmp 41 lambda-1024 1373 7925 6552 1615755234390 1615755239230 4840 97 4652 91 lambda-1024
ellipsoids-openmp 306 lambda-1024 1508 8030 6522 1615755235578 1615755239322 3744 96 3571 77 lambda-1024
ellipsoids-openmp 45 lambda-1024 1374 8033 6659 1615755234479 1615755239326 4847 95 4669 83 lambda-1024
ellipsoids-openmp 51 lambda-1024 1376 8037 6661 1615755234715 1615755239331 4616 87 4443 86 lambda-1024
ellipsoids-openmp 55 lambda-1024 1377 8040 6663 1615755234666 1615755239347 4681 99 4485 97 lambda-1024
ellipsoids-openmp 307 lambda-1024 1508 8042 6534 1615755235604 1615755239350 3746 97 3565 84 lambda-1024
ellipsoids-openmp 311 lambda-1024 1509 8095 6586 1615755235689 1615755239400 3711 92 3521 98 lambda-1024
ellipsoids-openmp 64 lambda-1024 1380 8100 6720 1615755234867 1615755239416 4549 99 4351 99 lambda-1024
ellipsoids-openmp 47 lambda-1024 1374 8103 6729 1615755234591 1615755239424 4833 96 4632 105 lambda-1024
ellipsoids-openmp 312 lambda-1024 1510 8107 6597 1615755235720 1615755239427 3707 94 3509 104 lambda-1024
ellipsoids-openmp 42 lambda-1024 1373 8142 6769 1615755234598 1615755239460 4862 99 4667 96 lambda-1024
ellipsoids-openmp 49 lambda-1024 1375 8149 6774 1615755234580 1615755239460 4880 89 4699 92 lambda-1024
ellipsoids-openmp 68 lambda-1024 1381 8151 6770 1615755234961 1615755239474 4513 100 4293 120 lambda-1024
ellipsoids-openmp 316 lambda-1024 1510 8160 6650 1615755235759 1615755239506 3747 101 3554 92 lambda-1024
ellipsoids-openmp 53 lambda-1024 1376 8175 6799 1615755234688 1615755239519 4831 102 4638 91 lambda-1024
ellipsoids-openmp 308 lambda-1024 1509 8185 6676 1615755235753 1615755239528 3775 91 3569 115 lambda-1024
ellipsoids-openmp 58 lambda-1024 1377 8204 6827 1615755234761 1615755239563 4802 89 4622 91 lambda-1024
ellipsoids-openmp 317 lambda-1024 1511 8240 6729 1615755235780 1615755239581 3801 93 3553 155 lambda-1024
ellipsoids-openmp 57 lambda-1024 1377 8242 6865 1615755234694 1615755239581 4887 91 4707 89 lambda-1024
ellipsoids-openmp 66 lambda-1024 1381 8245 6864 1615755234907 1615755239581 4674 87 4504 83 lambda-1024
ellipsoids-openmp 7 lambda-1024 1382 8250 6868 1615755234971 1615755239586 4615 101 4425 89 lambda-1024
ellipsoids-openmp 56 lambda-1024 1377 8254 6877 1615755234749 1615755239610 4861 102 4667 92 lambda-1024
ellipsoids-openmp 54 lambda-1024 1376 8256 6880 1615755234696 1615755239612 4916 91 4727 98 lambda-1024
ellipsoids-openmp 71 lambda-1024 1382 8258 6876 1615755234984 1615755239606 4622 98 4450 74 lambda-1024
ellipsoids-openmp 6 lambda-1024 1378 8301 6923 1615755234808 1615755239650 4842 99 4646 97 lambda-1024
ellipsoids-openmp 60 lambda-1024 1378 8333 6955 1615755234843 1615755239714 4871 102 4684 85 lambda-1024
ellipsoids-openmp 62 lambda-1024 1379 8335 6956 1615755234838 1615755239721 4883 103 4686 94 lambda-1024
ellipsoids-openmp 76 lambda-1024 1384 8368 6984 1615755235117 1615755239736 4619 98 4433 88 lambda-1024
ellipsoids-openmp 74 lambda-1024 1383 8372 6989 1615755235084 1615755239739 4655 106 4433 116 lambda-1024
ellipsoids-openmp 322 lambda-1024 1513 8375 6862 1615755235904 1615755239759 3855 89 3685 81 lambda-1024
ellipsoids-openmp 69 lambda-1024 1381 8377 6996 1615755234965 1615755239774 4809 106 4631 72 lambda-1024
ellipsoids-openmp 80 lambda-1024 1385 8386 7001 1615755235185 1615755239786 4601 100 4374 127 lambda-1024
ellipsoids-openmp 77 lambda-1024 1384 8411 7027 1615755235160 1615755239798 4638 98 4429 111 lambda-1024
ellipsoids-openmp 82 lambda-1024 1386 8433 7047 1615755235196 1615755239807 4611 97 4429 85 lambda-1024
