task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 316 lambda-128 12733 48134 35401 1615931679154 1615931710854 31700 759 30621 320 lambda-128
ellipsoids-openmp 202 lambda-128 13008 48134 35126 1615931679455 1615931711935 32480 800 31401 279 lambda-128
ellipsoids-openmp 200 lambda-128 13007 48137 35130 1615931679441 1615931711540 32099 779 31019 301 lambda-128
ellipsoids-openmp 199 lambda-128 13006 48141 35135 1615931679500 1615931712021 32521 740 31540 241 lambda-128
ellipsoids-openmp 256 lambda-128 12618 48151 35533 1615931679033 1615931710813 31780 720 30799 261 lambda-128
ellipsoids-openmp 405 lambda-128 12838 48152 35314 1615931679278 1615931710936 31658 759 30581 318 lambda-128
ellipsoids-openmp 322 lambda-128 12741 48159 35418 1615931679185 1615931711725 32540 720 31480 340 lambda-128
ellipsoids-openmp 280 lambda-128 12656 48164 35508 1615931679017 1615931712325 33308 760 32240 308 lambda-128
ellipsoids-openmp 206 lambda-128 12524 48165 35641 1615931678918 1615931711066 32148 788 31040 320 lambda-128
ellipsoids-openmp 373 lambda-128 12801 48165 35364 1615931679300 1615931709868 30568 739 29541 288 lambda-128
ellipsoids-openmp 188 lambda-128 12998 48168 35170 1615931679378 1615931711932 32554 773 31461 320 lambda-128
ellipsoids-openmp 195 lambda-128 13004 48180 35176 1615931679458 1615931711639 32181 760 31141 280 lambda-128
ellipsoids-openmp 346 lambda-128 12768 48182 35414 1615931679218 1615931711439 32221 740 31221 260 lambda-128
ellipsoids-openmp 105 lambda-128 13057 48183 35126 1615931679463 1615931712675 33212 760 32161 291 lambda-128
ellipsoids-openmp 14 lambda-128 13061 48185 35124 1615931679515 1615931711430 31915 760 30860 295 lambda-128
ellipsoids-openmp 359 lambda-128 12782 48193 35411 1615931679205 1615931711564 32359 760 31319 280 lambda-128
ellipsoids-openmp 118 lambda-128 12928 48197 35269 1615931679359 1615931711040 31681 760 30660 261 lambda-128
ellipsoids-openmp 291 lambda-128 12669 48207 35538 1615931679070 1615931711391 32321 740 31261 320 lambda-128
ellipsoids-openmp 264 lambda-128 12629 48208 35579 1615931679069 1615931710600 31531 759 30500 272 lambda-128
ellipsoids-openmp 182 lambda-128 12990 48213 35223 1615931679500 1615931711131 31631 720 30501 410 lambda-128
ellipsoids-openmp 103 lambda-128 13055 48217 35162 1615931679571 1615931711255 31684 759 30641 284 lambda-128
ellipsoids-openmp 203 lambda-128 13009 48218 35209 1615931679447 1615931711847 32400 720 31360 320 lambda-128
ellipsoids-openmp 181 lambda-128 12989 48222 35233 1615931679361 1615931710922 31561 740 30561 260 lambda-128
ellipsoids-openmp 104 lambda-128 13056 48222 35166 1615931679425 1615931711245 31820 720 30840 260 lambda-128
ellipsoids-openmp 351 lambda-128 12773 48242 35469 1615931679206 1615931711506 32300 700 31340 260 lambda-128
ellipsoids-openmp 288 lambda-128 12666 48249 35583 1615931679128 1615931710389 31261 740 30261 260 lambda-128
ellipsoids-openmp 371 lambda-128 12798 48250 35452 1615931679351 1615931711313 31962 701 30961 300 lambda-128
ellipsoids-openmp 17 lambda-128 13065 48250 35185 1615931679422 1615931712402 32980 740 31940 300 lambda-128
