5	2048	0	14440
4	2048	0	14300
3	2048	0	14238
2	2048	0	14281
6	2048	0	14057
7	2048	0	14088
1	2048	0	14021
21	3008	14462	15163
22	2560	14549	15231
18	1024	14467	15151
11	1536	14186	14769
17	2048	14307	14773
10	1024	14113	14760
8	1024	14357	15049
19	2048	14248	14723
9	1024	14261	14850
14	1024	14455	15057
12	1024	14302	14944
13	1024	14328	14939
15	1024	14415	15064
16	1024	14453	15065
20	1024	14251	14941
23	3008	15384	15654
24	2560	15663	16403
26	3008	16421	16961
27	2560	16426	16969
29	2560	16429	16993
25	2560	16420	16967
30	2560	16435	16975
31	2048	16431	16956
28	2048	16434	16969
32	3008	17042	17503
33	3008	17512	18571
34	3008	18574	19388
