mProject 9 fargate 0 37736 50895 13159 169 12723 264 2 4
mProject 2 fargate 0 42679 55760 13081 201 12680 197 2 4
mProject 3 fargate 0 43285 56070 12785 163 12402 216 2 4
mProject 4 fargate 0 43789 56696 12907 143 12577 184 2 4
mProject 1 fargate 0 44784 57616 12832 120 12515 194 2 4
mProject 5 fargate 0 43079 55907 12828 128 12464 232 2 4
mProject 6 fargate 0 42907 56003 13096 123 12760 209 2 4
mProject 10 fargate 0 43874 56999 13125 172 12695 254 2 4
mProject 7 fargate 0 43868 56801 12933 120 12597 212 2 4
mProject 8 fargate 0 42927 55832 12905 142 12562 197 2 4
mProject 14 fargate 17003 55520 68614 13094 151 12743 196 2 4
mProject 20 fargate 17020 53565 66568 13003 140 12657 203 2 4
mProject 12 fargate 16992 54173 67296 13123 124 12628 368 2 4
mProject 11 fargate 16981 59242 72290 13048 157 12647 239 2 4
mProject 13 fargate 16998 60933 73949 13016 146 12669 198 2 4
mProject 17 fargate 17014 60981 73875 12894 229 12420 241 2 4
mProject 16 fargate 17011 59985 72751 12766 140 12430 191 2 4
mProject 15 fargate 17008 59660 72683 13023 134 12692 192 2 4
mProject 19 fargate 17018 58762 71806 13044 173 12694 174 2 4
mProject 18 fargate 17016 60322 73536 13214 195 12839 175 2 4
mProject 22 fargate 27145 63552 76621 13069 203 12651 212 2 4
mProject 429 fargate 27004 70286 83376 13090 171 12657 259 2 4
mProject 435 fargate 27046 69959 82951 12992 165 12623 199 2 4
mProject 432 fargate 27027 70152 83161 13009 129 12652 225 2 4
mProject 434 fargate 27039 70250 83148 12898 145 12535 214 2 4
mProject 431 fargate 27020 70703 83762 13059 143 12733 178 2 4
mProject 433 fargate 27033 70370 83251 12881 150 12535 192 2 4
mProject 430 fargate 27012 70644 83524 12880 118 12578 179 2 4
mProject 436 fargate 27055 69906 82925 13019 155 12674 186 2 4
mProject 23 fargate 27148 69284 82239 12955 152 12605 195 2 4
mProject 225 fargate 37017 75457 88575 13118 158 12758 198 2 4
