mProject 10 fargate 1 36899 49879 12980 134 12674 169 2 4
mProject 4 fargate 0 43486 56578 13092 178 12701 208 2 4
mProject 1 fargate 0 43642 56491 12849 134 12517 194 2 4
mProject 5 fargate 0 42608 55694 13086 189 12703 190 2 4
mProject 8 fargate 0 43279 56100 12821 127 12503 187 2 4
mProject 3 fargate 0 43542 56544 13002 132 12652 214 2 4
mProject 9 fargate 0 43494 56332 12838 152 12495 187 2 4
mProject 2 fargate 0 41668 54587 12919 117 12608 190 2 4
mProject 7 fargate 0 46670 59643 12973 141 12682 147 2 4
mProject 6 fargate 0 46198 59385 13187 129 12731 323 2 4
mProject 14 fargate 18404 54813 67871 13058 130 12738 186 2 4
mProject 15 fargate 18492 56331 69343 13012 140 12663 205 2 4
mProject 107 fargate 18670 56074 69171 13097 123 12759 211 2 4
mProject 12 fargate 18247 61685 74636 12951 140 12613 194 2 4
mProject 11 fargate 18214 60293 73318 13025 135 12699 187 2 4
mProject 13 fargate 18268 60104 72960 12856 121 12517 215 2 4
mProject 16 fargate 18498 61016 73907 12891 155 12542 187 2 4
mProject 105 fargate 18660 62501 75385 12884 164 12540 176 2 4
mProject 106 fargate 18665 62088 75108 13020 158 12681 178 2 4
mProject 104 fargate 18654 61633 74417 12784 162 12436 183 2 4
mProject 117 fargate 34877 72990 85982 12992 153 12624 212 2 4
mProject 116 fargate 34872 71344 84180 12836 127 12513 193 2 4
mProject 108 fargate 32988 76563 89801 13238 150 12912 173 2 4
mProject 110 fargate 33085 75175 87976 12801 126 12488 184 2 4
mProject 109 fargate 32998 75934 89057 13123 159 12538 422 2 4
mProject 111 fargate 33850 76546 89729 13183 142 12756 281 2 4
mProject 113 fargate 33862 78147 91202 13055 130 12717 203 2 4
mProject 114 fargate 34859 77054 90121 13067 122 12707 235 2 4
mProject 115 fargate 34865 77040 90048 13008 104 12680 221 2 4
mProject 217 fargate 47279 84903 97845 12942 122 12603 214 2 4
mProject 119 fargate 48144 85277 98361 13084 136 12762 183 2 4
mProject 218 fargate 47290 90974 103923 12949 119 12633 193 2 4
mProject 220 fargate 47297 90725 103462 12737 150 12420 164 2 4
mProject 221 fargate 47301 89754 102602 12848 123 12509 213 2 4
mProject 222 fargate 47306 90432 103466 13034 127 12734 169 2 4
mProject 219 fargate 47295 90534 103466 12932 118 12610 201 2 4
mProject 118 fargate 48142 89937 102882 12945 121 12620 199 2 4
mProject 207 fargate 49509 92659 105637 12978 127 12649 198 2 4
mProject 208 fargate 49516 93026 105981 12955 121 12623 208 2 4
mProject 216 fargate 60036 96347 109033 12686 132 12347 203 2 4
