task id resource start end time downloaded executed uploaded type
mDiffFit 22 512 1672 2797 1125 688 174 263 sdbcs
mDiffFit 25 512 1519 2807 1288 780 181 327 sdbcs
mDiffFit 20 512 1455 2843 1388 701 347 340 sdbcs
mDiffFit 11 1024 1940 2861 921 463 163 295 sdbcs
mDiffFit 12 512 1613 2859 1246 667 261 318 sdbcs
mDiffFit 15 1024 1984 2916 932 524 144 264 sdbcs
mDiffFit 13 512 1674 2954 1280 693 281 306 sdbcs
mDiffFit 17 512 1669 2980 1311 821 260 230 sdbcs
mProjectPP 6 512 68 3202 3134 289 2137 708 sdbcs
mDiffFit 14 512 1988 3290 1302 762 241 299 sdbcs
mDiffFit 24 1024 3428 4321 893 405 182 306 sdbcs
mDiffFit 23 512 3463 4717 1254 790 166 298 sdbcs
mDiffFit 21 512 3449 4734 1285 699 262 324 sdbcs
mConcatFit 28 512 5006 5953 947 321 482 144 sdbcs
mBgModel 29 1536 6022 8499 2477 193 2140 144 sdbcs
mBackground 35 256 8724 10222 1498 608 301 589 sdbcs
mBackground 30 256 8723 10218 1495 554 320 621 sdbcs
mBackground 34 256 8711 10197 1486 578 321 587 sdbcs
mBackground 32 256 8743 10233 1490 567 303 620 sdbcs
mBackground 36 256 8743 10238 1495 553 322 620 sdbcs
mBackground 39 256 8676 10204 1528 550 324 654 sdbcs
mBackground 37 256 8731 10250 1519 560 323 636 sdbcs
mBackground 33 256 8888 10605 1717 741 319 657 sdbcs
mBackground 31 256 8722 10517 1795 599 461 735 sdbcs
mBackground 38 256 8840 10954 2114 919 461 734 sdbcs
mImgtbl 40 256 11213 14302 3089 2706 161 222 sdbcs
mAdd 41 512 14506 18092 3586 2322 545 719 sdbcs
mShrink 42 256 18460 20155 1695 599 482 614 sdbcs
mJPEG 43 512 20311 21788 1477 457 821 199 sdbcs
mProjectPP 7 2048 9 1268 1259 308 532 419 sdbcs
mProjectPP 10 2048 108 1345 1237 271 534 432 sdbcs
mProjectPP 9 2048 52 1287 1235 295 537 403 sdbcs
mProjectPP 4 2048 109 1399 1290 296 530 464 sdbcs
mProjectPP 8 2048 119 1421 1302 263 568 471 sdbcs
mProjectPP 3 1536 80 1454 1374 275 675 424 sdbcs
mProjectPP 1 1536 0 1416 1416 317 680 419 sdbcs
mProjectPP 5 1536 132 1517 1385 270 692 423 sdbcs
mProjectPP 2 1024 60 1870 1810 277 1048 485 sdbcs
mDiffFit 18 1024 1567 2593 1026 514 167 345 sdbcs
mDiffFit 25 512 1527 2657 1130 689 142 299 sdbcs
mDiffFit 22 512 1673 2769 1096 676 161 259 sdbcs
mDiffFit 17 512 1610 2771 1161 736 164 261 sdbcs
mDiffFit 26 1024 1481 2772 1291 867 155 269 sdbcs
mDiffFit 19 1024 1651 2854 1203 836 82 285 sdbcs
mDiffFit 16 1024 1637 3027 1390 986 132 272 sdbcs
mDiffFit 27 512 1533 3022 1489 1019 166 304 sdbcs
mDiffFit 15 1024 2118 3012 894 495 125 274 sdbcs
mDiffFit 13 512 1676 3055 1379 786 282 311 sdbcs
mProjectPP 6 512 39 3039 3000 335 2083 582 sdbcs
mDiffFit 11 1024 2173 3060 887 477 127 283 sdbcs
mDiffFit 12 512 1663 3256 1593 1120 167 306 sdbcs
mDiffFit 20 512 1605 3403 1798 1236 263 299 sdbcs
mDiffFit 14 512 2198 3681 1483 985 164 334 sdbcs
mDiffFit 24 1024 3174 4482 1308 894 128 286 sdbcs
mDiffFit 23 512 3181 4709 1528 994 245 289 sdbcs
mDiffFit 21 512 3206 5524 2318 1695 264 359 sdbcs
mConcatFit 28 512 5678 6693 1015 383 485 147 sdbcs
mBgModel 29 1536 6843 9226 2383 115 2143 125 sdbcs
mBackground 38 256 9323 10783 1460 530 303 627 sdbcs
mBackground 32 256 9425 10860 1435 539 303 593 sdbcs
mBackground 39 256 9358 10834 1476 560 303 613 sdbcs
mBackground 35 256 9346 10863 1517 620 321 576 sdbcs
mBackground 36 256 9378 10872 1494 598 340 556 sdbcs
mBackground 34 256 9514 11100 1586 540 320 726 sdbcs
mBackground 33 256 9418 11076 1658 579 303 776 sdbcs
mBackground 30 256 9385 11099 1714 818 302 594 sdbcs
mBackground 31 256 9330 11093 1763 558 460 745 sdbcs
mBackground 37 256 9440 11737 2297 940 480 877 sdbcs
mImgtbl 40 256 12040 15040 3000 2460 380 160 sdbcs
mAdd 41 512 15271 19214 3943 2693 564 686 sdbcs
mShrink 42 256 19421 21247 1826 659 461 706 sdbcs
mJPEG 43 512 21545 23046 1501 476 825 200 sdbcs
mProjectPP 10 2048 66 1283 1217 281 535 401 sdbcs
mProjectPP 7 2048 66 1301 1235 282 530 423 sdbcs
mProjectPP 4 2048 67 1342 1275 310 549 416 sdbcs
mProjectPP 8 2048 2 1312 1310 270 528 512 sdbcs
mProjectPP 9 2048 0 1304 1304 282 562 460 sdbcs
mProjectPP 1 1536 4 1398 1394 314 681 399 sdbcs
mProjectPP 3 1536 53 1527 1474 306 676 492 sdbcs
mProjectPP 5 1536 47 1531 1484 321 680 483 sdbcs
mProjectPP 2 1024 39 1857 1818 282 1037 499 sdbcs
mDiffFit 26 1024 1625 2499 874 462 137 275 sdbcs
mDiffFit 19 1024 1731 2584 853 423 136 294 sdbcs
mDiffFit 18 1024 1695 2639 944 485 137 322 sdbcs
mDiffFit 16 1024 1702 2692 990 520 176 294 sdbcs
mDiffFit 27 512 1665 2767 1102 656 186 260 sdbcs
mProjectPP 6 512 65 2968 2903 314 2089 500 sdbcs
mDiffFit 15 1024 2094 3037 943 506 126 311 sdbcs
mDiffFit 11 1024 2133 3046 913 454 169 290 sdbcs
mDiffFit 17 512 1775 3207 1432 938 244 250 sdbcs
mDiffFit 22 512 1754 3267 1513 1105 162 246 sdbcs
mDiffFit 12 512 1750 3330 1580 1081 199 300 sdbcs
mDiffFit 13 512 1753 3352 1599 960 264 375 sdbcs
mDiffFit 14 512 2122 3447 1325 821 244 260 sdbcs
mDiffFit 20 512 1717 3898 2181 1556 280 345 sdbcs
mDiffFit 25 512 1788 4242 2454 2041 161 252 sdbcs
mDiffFit 24 1024 3184 4660 1476 1054 131 291 sdbcs
mDiffFit 21 512 3272 4969 1697 1056 340 301 sdbcs
mDiffFit 23 512 3230 5408 2178 1703 183 292 sdbcs
mConcatFit 28 512 5521 6482 961 340 473 148 sdbcs
mBgModel 29 1536 6527 8910 2383 126 2128 129 sdbcs
mBackground 38 256 9342 10767 1425 539 302 584 sdbcs
