task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 106 lambda-128 13310 95211 81901 1615849020127 1615849058229 38102 761 37060 281 lambda-128
ellipsoids-openmp 6 lambda-128 13264 95237 81973 1615849006843 1615849049140 42297 779 41222 296 lambda-128
ellipsoids-openmp 109 lambda-128 13313 95301 81988 1615849021361 1615849056795 35434 119 35101 214 lambda-128
ellipsoids-openmp 17 lambda-128 13197 95366 82169 1615849016670 1615849047721 31051 739 30021 291 lambda-128
ellipsoids-openmp 81 lambda-128 13283 95499 82216 1615849018310 1615849058857 40547 97 40200 250 lambda-128
ellipsoids-openmp 82 lambda-128 13284 95547 82263 1615849021307 1615849059837 38530 86 38240 204 lambda-128
ellipsoids-openmp 7 lambda-128 13271 95610 82339 1615849022202 1615849060711 38509 109 38161 239 lambda-128
ellipsoids-openmp 86 lambda-128 13287 107488 94201 1615849022281 1615849060643 38362 102 38208 52 lambda-128
ellipsoids-openmp 85 lambda-128 13286 107625 94339 1615849029215 1615849068779 39564 109 39320 135 lambda-128
ellipsoids-openmp 94 lambda-128 13292 109399 96107 1615849034125 1615849064203 30078 84 29720 274 lambda-128
ellipsoids-openmp 99 lambda-128 13296 109472 96176 1615849041651 1615849071430 29779 143 28480 1156 lambda-128
ellipsoids-openmp 113 lambda-128 13315 109609 96294 1615849032644 1615849063724 31080 289 30581 210 lambda-128
ellipsoids-openmp 122 lambda-128 13322 110588 97266 1615849038847 1615849074745 35898 104 35580 214 lambda-128
ellipsoids-openmp 9 lambda-128 13289 112621 99332 1615849032250 1615849062390 30140 779 29081 280 lambda-128
ellipsoids-openmp 39 lambda-128 13229 119868 106639 1615849051903 1615849079799 27896 98 27580 218 lambda-128
ellipsoids-openmp 182 lambda-128 13365 121119 107754 1615849052957 1615849082747 29790 209 29381 200 lambda-128
ellipsoids-openmp 199 lambda-128 13377 132767 119390 1615849062628 1615849096806 34178 90 33900 188 lambda-128
ellipsoids-openmp 160 lambda-128 13349 132909 119560 1615849047515 1615849077407 29892 96 29621 175 lambda-128
ellipsoids-openmp 125 lambda-128 13325 134077 120752 1615849040538 1615849076499 35961 760 34881 320 lambda-128
ellipsoids-openmp 210 lambda-128 13418 134145 120727 1615849068436 1615849097080 28644 204 28222 218 lambda-128
ellipsoids-openmp 134 lambda-128 13331 134502 121171 1615849048303 1615849086684 38381 741 37360 280 lambda-128
ellipsoids-openmp 41 lambda-128 13231 134567 121336 1615849069797 1615849098514 28717 146 28375 196 lambda-128
ellipsoids-openmp 143 lambda-128 13337 135488 122151 1615849030344 1615849065691 35347 100 35070 177 lambda-128
ellipsoids-openmp 147 lambda-128 13340 135520 122180 1615849045230 1615849075067 29837 99 29500 238 lambda-128
ellipsoids-openmp 140 lambda-128 13335 136234 122899 1615849054038 1615849092883 38845 759 37801 285 lambda-128
ellipsoids-openmp 225 lambda-128 13428 136300 122872 1615849071514 1615849099715 28201 82 27958 161 lambda-128
ellipsoids-openmp 159 lambda-128 13348 137030 123682 1615849038631 1615849067751 29120 68 28839 213 lambda-128
ellipsoids-openmp 75 lambda-128 13278 137084 123806 1615849022079 1615849058218 36139 116 35798 225 lambda-128
ellipsoids-openmp 158 lambda-128 13347 137090 123743 1615849050675 1615849087598 36923 108 36601 214 lambda-128
ellipsoids-openmp 228 lambda-128 13430 137098 123668 1615849072312 1615849101820 29508 82 29237 189 lambda-128
ellipsoids-openmp 153 lambda-128 13344 137374 124030 1615849031139 1615849066489 35350 96 35021 233 lambda-128
ellipsoids-openmp 163 lambda-128 13351 137397 124046 1615849064856 1615849098535 33679 102 33320 257 lambda-128
ellipsoids-openmp 168 lambda-128 13354 137433 124079 1615849048795 1615849078711 29916 94 29661 161 lambda-128
ellipsoids-openmp 84 lambda-128 13285 137856 124571 1615849021289 1615849058825 37536 108 37180 248 lambda-128
ellipsoids-openmp 175 lambda-128 13359 139222 125863 1615849059808 1615849095991 36183 89 35900 194 lambda-128
ellipsoids-openmp 83 lambda-128 13285 107558 94273 1615849023078 1615849061609 38531 120 37240 1171 lambda-128
ellipsoids-openmp 88 lambda-128 13288 143313 130025 1615849023100 1615849053879 30779 759 29759 261 lambda-128
ellipsoids-openmp 245 lambda-128 13445 143378 129933 1615849079355 1615849108039 28684 97 28358 229 lambda-128
ellipsoids-openmp 244 lambda-128 13444 143445 130001 1615849077726 1615849108861 31135 65 30821 249 lambda-128
ellipsoids-openmp 115 lambda-128 13317 147876 134559 1615849043927 1615849080506 36579 176 36160 243 lambda-128
ellipsoids-openmp 251 lambda-128 13449 147948 134499 1615849079374 1615849108333 28959 83 28660 216 lambda-128
ellipsoids-openmp 123 lambda-128 13322 153764 140442 1615849044847 1615849082187 37340 96 37000 244 lambda-128
ellipsoids-openmp 95 lambda-128 13293 109401 96108 1615849019873 1615849057045 37172 92 36882 198 lambda-128
ellipsoids-openmp 137 lambda-128 13333 158144 144811 1615849024993 1615849063072 38079 780 37000 299 lambda-128
ellipsoids-openmp 144 lambda-128 13337 158247 144910 1615849049615 1615849079471 29856 87 29520 249 lambda-128
ellipsoids-openmp 87 lambda-128 13287 109331 96044 1615849024322 1615849064723 40401 800 39301 300 lambda-128
ellipsoids-openmp 146 lambda-128 13339 158253 144914 1615849053248 1615849085565 32317 759 31261 297 lambda-128
ellipsoids-openmp 136 lambda-128 13332 158203 144871 1615849048376 1615849085146 36770 790 35660 320 lambda-128
ellipsoids-openmp 98 lambda-128 13295 109537 96242 1615849026196 1615849064719 38523 130 38201 192 lambda-128
ellipsoids-openmp 107 lambda-128 13311 109468 96157 1615849023088 1615849052587 29499 759 28440 300 lambda-128
ellipsoids-openmp 260 lambda-128 13454 158268 144814 1615849085688 1615849115098 29410 120 29100 190 lambda-128
ellipsoids-openmp 258 lambda-128 13453 158315 144862 1615849079153 1615849108184 29031 97 28700 234 lambda-128
ellipsoids-openmp 248 lambda-128 13447 158274 144827 1615849081789 1615849119501 37712 92 37380 240 lambda-128
ellipsoids-openmp 259 lambda-128 13454 158339 144885 1615849085589 1615849115070 29481 109 29141 231 lambda-128
ellipsoids-openmp 154 lambda-128 13345 158358 145013 1615849045025 1615849081473 36448 111 36081 256 lambda-128
ellipsoids-openmp 161 lambda-128 13349 158376 145027 1615849065230 1615849096634 31404 740 30420 244 lambda-128
ellipsoids-openmp 127 lambda-128 13326 158397 145071 1615849059912 1615849097079 37167 81 36780 306 lambda-128
ellipsoids-openmp 276 lambda-128 13465 158426 144961 1615849087258 1615849116876 29618 88 29321 209 lambda-128
ellipsoids-openmp 274 lambda-128 13464 158438 144974 1615849082833 1615849120518 37685 110 37401 174 lambda-128
ellipsoids-openmp 167 lambda-128 13353 158462 145109 1615849066171 1615849097420 31249 740 30200 309 lambda-128
ellipsoids-openmp 42 lambda-128 13232 158473 145241 1615849080212 1615849108451 28239 68 27981 190 lambda-128
ellipsoids-openmp 181 lambda-128 13365 158525 145160 1615849065956 1615849102856 36900 740 35899 261 lambda-128
ellipsoids-openmp 265 lambda-128 13458 158485 145027 1615849079691 1615849109324 29633 98 29339 196 lambda-128
ellipsoids-openmp 186 lambda-128 13368 158542 145174 1615849065872 1615849103705 37833 93 37541 199 lambda-128
ellipsoids-openmp 178 lambda-128 13362 158518 145156 1615849053693 1615849091654 37961 742 36938 281 lambda-128
ellipsoids-openmp 169 lambda-128 13355 158479 145124 1615849057410 1615849094333 36923 779 35841 303 lambda-128
ellipsoids-openmp 38 lambda-128 13228 158493 145265 1615849067101 1615849097822 30721 740 29661 320 lambda-128
ellipsoids-openmp 171 lambda-128 13356 158450 145094 1615849062280 1615849092660 30380 760 29320 300 lambda-128
ellipsoids-openmp 185 lambda-128 13367 158544 145177 1615849064289 1615849093558 29269 100 28921 248 lambda-128
ellipsoids-openmp 187 lambda-128 13369 158612 145243 1615849072245 1615849103528 31283 101 30960 222 lambda-128
ellipsoids-openmp 278 lambda-128 13466 158586 145120 1615849087435 1615849118769 31334 759 30300 275 lambda-128
ellipsoids-openmp 190 lambda-128 13371 158619 145248 1615849065046 1615849100959 35913 100 35622 191 lambda-128
ellipsoids-openmp 277 lambda-128 13466 158549 145083 1615849083341 1615849113566 30225 85 29940 200 lambda-128
ellipsoids-openmp 192 lambda-128 13372 158691 145319 1615849062247 1615849096850 34603 111 34278 214 lambda-128
ellipsoids-openmp 195 lambda-128 13374 158703 145329 1615849076679 1615849112620 35941 100 35619 222 lambda-128
ellipsoids-openmp 191 lambda-128 13372 158711 145339 1615849054483 1615849085647 31164 83 30881 200 lambda-128
ellipsoids-openmp 307 lambda-128 13487 158774 145287 1615849088803 1615849118667 29864 760 28780 324 lambda-128
ellipsoids-openmp 198 lambda-128 13376 158767 145391 1615849060958 1615849096926 35968 94 35640 234 lambda-128
ellipsoids-openmp 33 lambda-128 13222 158825 145603 1615849082413 1615849121078 38665 110 38341 214 lambda-128
ellipsoids-openmp 200 lambda-128 13378 158802 145424 1615849069549 1615849104545 34996 85 34681 230 lambda-128
ellipsoids-openmp 208 lambda-128 13417 158898 145481 1615849065056 1615849104158 39102 88 38779 235 lambda-128
ellipsoids-openmp 211 lambda-128 13419 158974 145555 1615849070213 1615849098402 28189 308 27701 180 lambda-128
ellipsoids-openmp 205 lambda-128 13382 158915 145533 1615849081895 1615849118993 37098 118 36742 238 lambda-128
ellipsoids-openmp 212 lambda-128 13419 158984 145565 1615849083228 1615849112627 29399 99 29100 200 lambda-128
ellipsoids-openmp 214 lambda-128 13420 159077 145657 1615849089267 1615849120747 31480 739 30421 320 lambda-128
ellipsoids-openmp 216 lambda-128 13422 159112 145690 1615849089088 1615849120608 31520 760 30440 320 lambda-128
ellipsoids-openmp 217 lambda-128 13422 159124 145702 1615849063834 1615849093504 29670 100 29320 250 lambda-128
ellipsoids-openmp 223 lambda-128 13426 159131 145705 1615849072200 1615849111341 39141 779 38022 340 lambda-128
ellipsoids-openmp 110 lambda-128 13313 109542 96229 1615849028714 1615849060415 31701 720 30740 241 lambda-128
ellipsoids-openmp 148 lambda-128 13341 112685 99344 1615849046907 1615849077866 30959 778 29902 279 lambda-128
ellipsoids-openmp 329 lambda-128 13503 159197 145694 1615849086925 1615849124034 37109 134 36785 190 lambda-128
ellipsoids-openmp 219 lambda-128 13424 159142 145718 1615849064943 1615849104700 39757 779 38680 298 lambda-128
